Include Group,Group Name,Combine,Platform-Type-OS-Version,Name,Location,Environment,Test Data
No,CreateSchedule,,IOS-Simulator-IOS-9.3,iPhone 6,Local,Dogfooding,"AcquisitionType=Automatic, Tags='LYRIC_STAT,SERVER_JASPER_DOGFOODING"
No,EditNAGeofencescheduleWithSleepsettings,,Android-Device-Android-6.0,Samsung Galaxy S6,SauceLabs,Production,"AcquisitionType=Automatic, Tags='REFACTOR_PROD_JASPER_NA,SINGLE_LOCATION_SINGLE_DEVICE,BASIC_SETTINGS'"
No,EditEMEAGeofencescheduleWithSleepsettings,,Android-Device-Android-6.0,Samsung Galaxy S6,SauceLabs,Production,"AcquisitionType=Automatic, Tags='REFACTOR_PROD_JASPER_EMEA,SINGLE_LOCATION_SINGLE_DEVICE'"
No,TemperatureAlertsOfStat,,Android-Device-Android-6.0,Samsung Galaxy S6,SauceLabs,Production,"AcquisitionType=Automatic, Tags='REFACTOR_PROD_JASPER_NA,MULTI_LOCATION_MULTI_DEVICE'"
No,HumidityAlertsOfStat_OnlyHBB,,Android-Device-Android-6.0,Samsung Galaxy S6,SauceLabs,Production,"AcquisitionType=Automatic, Tags='REFACTOR_PROD_HBB,SINGLE_LOCATION_SINGLE_DEVICE'"
No,ViewFilterReminderScreen_OnlyNAandHBB,,Android-Device-Android-6.0,Samsung Galaxy S6,SauceLabs,Production,"AcquisitionType=Automatic, Tags='REFACTOR_PROD_JASPER_NA,SINGLE_LOCATION_SINGLE_DEVICE'"
No,LocationWithMultipleStats,,Android-Device-Android-6.0,Samsung Galaxy S6,SauceLabs,Production,"AcquisitionType=Specific, TestData='USERID=platform@grr.la,PASSWORD=Password00,LOCATION1_NAME=NA Home,LOCATION1_DEVICE1_NAME=6237,LOCATION1_DEVICE2_NAME=HB,LOCATION2_NAME=NA2,LOCATION2_DEVICE1_NAME=Stat 6325'"
No,ChangeStatModeNAAutochangeover,,Android-Device-Android-6.0,Samsung Galaxy S6,SauceLabs,Production,"AcquisitionType=Automatic, Tags='REFACTOR_PROD_JASPER_NA,SINGLE_LOCATION_SINGLE_DEVICE,SPECIFIC_SETTINGS'"
No,ChangeStatModeEMEA,,Android-Device-Android-6.0,Samsung Galaxy S6,SauceLabs,Production,"AcquisitionType=Automatic, Tags='REFACTOR_PROD_JASPER_EMEA,SINGLE_LOCATION_SINGLE_DEVICE'"
No,EditTimescheduleDeletingallperiodNA,,IOS-Simulator-IOS-9.3,iPhone 6,SauceLabs,Production,"AcquisitionType=Automatic, Tags='REFACTOR_PROD_JASPER_NA,SINGLE_LOCATION_SINGLE_DEVICE,BASIC_SETTINGS'"
No,EditTimescheduleTimeformatEMEA,,IOS-Simulator-IOS-9.3,iPhone 6,SauceLabs,Production,"AcquisitionType=Automatic, Tags='REFACTOR_PROD_JASPER_EMEA,SINGLE_LOCATION_SINGLE_DEVICE'"
No,GeofenceMonitoringForVariousCombination,,Android-Device-Android-6.0,Samsung Galaxy S6,Local,Production,"AcquisitionType=Specific, TestData='USERID=plat_test1@grr.la,PASSWORD=Password1,LOCATION1_NAME=Home,LOCATION1_DEVICE1_NAME=Stat 6315'"
